C00325332|01192017|2000|4|8500
C00325332|01242017|3250|8|28500
C00193433|01102017|300|55|33703
C00193433|01112017|300|39|19382
C00193433|01122017|300|29|16247
C00193433|01132017|300|58|29291
C00193433|01142017|275|10|7465
C00193433|01192017|250|48|25645
C00193433|01242017|250|92|44717
C00193433|01252017|300|51|30447
C00193433|01052017|250|31|22215
C00193433|01062017|93|25|5984
C00193433|01212017|250|39|14378
C00193433|01232017|258|164|80987
C00193433|01222017|275|32|17100
C00193433|01152017|250|21|4125
C00325811|01312017|384|9|3302
C00024968|01052017|300|6|3600
C00024968|01132017|300|5|3683
C00024968|01142017|375|2|750
C00024968|01152017|375|2|750
C00024968|01232017|250|2|500
C00024968|01242017|250|1|250
C00024968|01252017|365|3|1115
C00024968|01192017|275|2|550
C00024968|01272017|250|1|250
C00024968|01282017|250|4|1166
C00024968|01312017|625|2|1250
C00024968|01202017|250|4|830
C00024968|01162017|250|1|250
C00024968|01172017|2000|1|2000
C00024968|01182017|250|2|500
C00024968|01222017|500|1|500
C00024968|01042017|365|1|365
C00024968|01032017|500|3|2865
C00024968|01062017|2000|3|4500
C00024968|01092017|250|1|250
C00024968|01102017|500|5|3000
C00024968|01112017|750|6|6000
C00193433|01272017|250|27|10773
C00193433|01172017|250|51|20231
C00333534|01312017|212|1|212
C00076299|01312017|384|21|7248
C00076299|01042017|5000|1|5000
C00193433|01012017|250|11|3570
C00193433|01022017|250|5|1350
C00434811|01202017|150|2|300
C00394031|01132017|208|4|728
C00394031|01312017|208|4|728
C00034355|01312017|380|3|1160
C00034785|01032017|5000|1|5000
C00034785|01092017|5000|1|5000
C00007450|01272017|218|5|1209
C00007450|01252017|350|1|350
C00007450|01052017|1000|1|1000
C00034157|01312017|125|21|3245
C00034157|01012017|416|68|23097
C00034157|01152017|208|10|2080
C00034157|01112017|268|2|535
C00034157|01142017|240|1|240
C00078451|01312017|300|68|23445
C00420950|01312017|270|1|270
C00491951|01312017|416|10|3536
C00507962|01312017|356|6|2029
C00423442|01312017|380|8|2884
C00214981|01032017|600|3|1800
C00214981|01182017|600|1|600
C00214981|01192017|600|1|600
C00214981|01202017|600|1|600
C00214981|01242017|600|1|600
C00214981|01262017|300|2|600
C00214981|01252017|600|1|600
C00214981|01272017|360|1|360
C00214981|01312017|600|2|1200
C00536573|01262017|138|51|8158
C00536573|01122017|324|4|1487
C00010421|01252017|500|15|12151
C00010421|01132017|500|4|2000
C00010421|01162017|208|5|1082
C00010421|01302017|208|5|1834
C00010421|01312017|638|24|19030
C00010421|01122017|800|10|16808
C00010421|01062017|354|2|708
C00010421|01092017|313|8|2750
C00010421|01242017|600|19|13850
C00010421|01172017|750|6|6000
C00010421|01102017|1000|4|5000
C00010421|01112017|500|4|2309
C00010421|01182017|229|2|458
C00010421|01052017|500|10|10166
C00024869|01202017|416|93|37439
C00401299|01282017|250|4|1030
C00401299|01122017|192|3|576
C00507392|01312017|384|4|1355
C00582999|01132017|250|1|250
C00582999|01312017|206|1|206
C00113159|01112017|2500|7|17500
C00113159|01252017|136|19|2841
C00113159|01132017|203|1|203
C00432963|01312017|138|2|275
C00501106|01312017|294|6|1864
C00020818|01172017|400|1|400
C00020818|01192017|400|9|5600
C00020818|01232017|3250|2|6500
C00020818|01272017|250|1|250
C00020818|01302017|1000|3|2250
C00618140|01062017|25|1|25
C00004325|01052017|1000|1|1000
C00004325|01032017|210|1|210
C00004325|01172017|435|1|435
C00004325|01202017|387|1|387
C00004325|01252017|241|1|241
C00004325|01232017|465|1|465
C00004325|01272017|225|1|225
C00396671|01032017|1000|1|1000
C00396671|01162017|365|1|365
C00396671|01052017|600|1|600
C00002469|01312017|260|15|3964
C00002469|01252017|250|3|1120
C00002469|01262017|1000|1|1000
C00002469|01272017|300|1|300
C00266585|01312017|750|11|6666
C00302687|01112017|3000|1|3000
C00553560|01232017|250|12|4850
C00553560|01202017|500|6|2500
C00553560|01172017|250|2|500
C00023838|01312017|625|2|1250
C00023838|01052017|250|1|250
C00023838|01232017|2000|1|2000
C00023838|01282017|375|4|6000
C00023838|01272017|350|1|350
